Text Date,Value Date,Zip Code,Water Use,Power Use
Apr_2008,Apr-08,"90001
(33.973271508000494, -118.24896959899968)",18.95,318
May_2008,May-08,"90001
(33.973271508000494, -118.24896959899968)",17.17,325
Jun_2008,Jun-08,"90001
(33.973271508000494, -118.24896959899968)",14.92,312
Jul_2008,Jul-08,"90001
(33.973271508000494, -118.24896959899968)",20.61,355
Aug_2008,Aug-08,"90001
(33.973271508000494, -118.24896959899968)",20.06,371
Sep_2008,Sep-08,"90001
(33.973271508000494, -118.24896959899968)",19.07,328
Oct_2008,Oct-08,"90001
(33.973271508000494, -118.24896959899968)",18.79,325
Nov_2008,Nov-08,"90001
(33.973271508000494, -118.24896959899968)",17,353
Dec_2008,Dec-08,"90001
(33.973271508000494, -118.24896959899968)",16.96,377
Jan_2009,Jan-09,"90001
(33.973271508000494, -118.24896959899968)",17.05,362
Feb_2009,Feb-09,"90001
(33.973271508000494, -118.24896959899968)",15.08,318
Mar_2009,Mar-09,"90001
(33.973271508000494, -118.24896959899968)",17.73,329
Apr_2009,Apr-09,"90001
(33.973271508000494, -118.24896959899968)",17.75,300
May_2009,May-09,"90001
(33.973271508000494, -118.24896959899968)",16.34,312
Jun_2009,Jun-09,"90001
(33.973271508000494, -118.24896959899968)",14.62,303
Jul_2009,Jul-09,"90001
(33.973271508000494, -118.24896959899968)",18.95,346
Aug_2009,Aug-09,"90001
(33.973271508000494, -118.24896959899968)",19.24,360
Sep_2009,Sep-09,"90001
(33.973271508000494, -118.24896959899968)",17.93,326
Oct_2009,Oct-09,"90001
(33.973271508000494, -118.24896959899968)",17.53,326
Nov_2009,Nov-09,"90001
(33.973271508000494, -118.24896959899968)",14.29,351
Dec_2009,Dec-09,"90001
(33.973271508000494, -118.24896959899968)",14.08,379
Jan_2010,Jan-10,"90001
(33.973271508000494, -118.24896959899968)",13.69,377
Feb_2010,Feb-10,"90001
(33.973271508000494, -118.24896959899968)",12.37,339
Mar_2010,Mar-10,"90001
(33.973271508000494, -118.24896959899968)",13.96,333
Apr_2010,Apr-10,"90001
(33.973271508000494, -118.24896959899968)",13.62,297
May_2010,May-10,"90001
(33.973271508000494, -118.24896959899968)",14.07,305
Jun_2010,Jun-10,"90001
(33.973271508000494, -118.24896959899968)",13.56,294
Jul_2010,Jul-10,"90001
(33.973271508000494, -118.24896959899968)",15.25,319
Aug_2010,Aug-10,"90001
(33.973271508000494, -118.24896959899968)",15.73,329
Sep_2010,Sep-10,"90001
(33.973271508000494, -118.24896959899968)",14.53,310
Oct_2010,Oct-10,"90001
(33.973271508000494, -118.24896959899968)",15.15,316
Nov_2010,Nov-10,"90001
(33.973271508000494, -118.24896959899968)",14.03,352
Dec_2010,Dec-10,"90001
(33.973271508000494, -118.24896959899968)",13.53,382
Jan_2011,Jan-11,"90001
(33.973271508000494, -118.24896959899968)",13.82,371
Feb_2011,Feb-11,"90001
(33.973271508000494, -118.24896959899968)",12.6,328
Mar_2011,Mar-11,"90001
(33.973271508000494, -118.24896959899968)",13.96,333
Apr_2011,Apr-11,"90001
(33.973271508000494, -118.24896959899968)",13.97,307
May_2011,May-11,"90001
(33.973271508000494, -118.24896959899968)",14.83,313
Jun_2011,Jun-11,"90001
(33.973271508000494, -118.24896959899968)",14.81,300
Jul_2011,Jul-11,"90001
(33.973271508000494, -118.24896959899968)",16.12,322
Aug_2011,Aug-11,"90001
(33.973271508000494, -118.24896959899968)",16.55,328
Sep_2011,Sep-11,"90001
(33.973271508000494, -118.24896959899968)",15.29,307
Oct_2011,Oct-11,"90001
(33.973271508000494, -118.24896959899968)",15.26,313
Nov_2011,Nov-11,"90001
(33.973271508000494, -118.24896959899968)",14.65,353
Dec_2011,Dec-11,"90001
(33.973271508000494, -118.24896959899968)",14.42,382
Jan_2012,Jan-12,"90001
(33.973271508000494, -118.24896959899968)",14.25,362
Feb_2012,Feb-12,"90001
(33.973271508000494, -118.24896959899968)",13.88,328
Mar_2012,Mar-12,"90001
(33.973271508000494, -118.24896959899968)",15.38,332
Apr_2012,Apr-12,"90001
(33.973271508000494, -118.24896959899968)",15.08,310
May_2012,May-12,"90001
(33.973271508000494, -118.24896959899968)",16.56,311
Jun_2012,Jun-12,"90001
(33.973271508000494, -118.24896959899968)",16.21,297
Jul_2012,Jul-12,"90001
(33.973271508000494, -118.24896959899968)",11.43,344
Aug_2012,Aug-12,"90001
(33.973271508000494, -118.24896959899968)",11.77,360
Sep_2012,Sep-12,"90001
(33.973271508000494, -118.24896959899968)",10.4,334
Oct_2012,Oct-12,"90001
(33.973271508000494, -118.24896959899968)",10.44,340
Nov_2012,Nov-12,"90001
(33.973271508000494, -118.24896959899968)",9.01,363
Dec_2013,Dec-12,"90001
(33.973271508000494, -118.24896959899968)",9.01,386
Jan_2013,Jan-13,"90001
(33.973271508000494, -118.24896959899968)",9.03,379
Feb_2013,Feb-13,"90001
(33.973271508000494, -118.24896959899968)",8.14,340
Mar_2013,Mar-13,"90001
(33.973271508000494, -118.24896959899968)",9.44,332
Apr_2013,Apr-13,"90001
(33.973271508000494, -118.24896959899968)",9.32,294
May_2013,May-13,"90001
(33.973271508000494, -118.24896959899968)",10.58,315
Jun_2013,Jun-13,"90001
(33.973271508000494, -118.24896959899968)",10.59,309
Jul_2005,Jul-05,"90002
(33.94895251300045, -118.24697958699971)",24.27,353
Aug_2005,Aug-05,"90002
(33.94895251300045, -118.24697958699971)",24.7,369
Sep_2005,Sep-05,"90002
(33.94895251300045, -118.24697958699971)",22.55,346
Oct_2005,Oct-05,"90002
(33.94895251300045, -118.24697958699971)",21.32,346
Nov_2005,Nov-05,"90002
(33.94895251300045, -118.24697958699971)",19.11,356
Dec_2005,Dec-05,"90002
(33.94895251300045, -118.24697958699971)",18.46,384
Jan_2006,Jan-06,"90002
(33.94895251300045, -118.24697958699971)",18.18,382
Feb_2006,Feb-06,"90002
(33.94895251300045, -118.24697958699971)",16.54,340
Mar_2006,Mar-06,"90002
(33.94895251300045, -118.24697958699971)",18.13,364
Apr_2006,Apr-06,"90002
(33.94895251300045, -118.24697958699971)",17.62,336
May_2006,May-06,"90002
(33.94895251300045, -118.24697958699971)",20.71,358
Jun_2006,Jun-06,"90002
(33.94895251300045, -118.24697958699971)",22.7,357
Jul_2006,Jul-06,"90002
(33.94895251300045, -118.24697958699971)",24.08,380
Aug_2006,Aug-06,"90002
(33.94895251300045, -118.24697958699971)",24.71,396
Sep_2006,Sep-06,"90002
(33.94895251300045, -118.24697958699971)",22.09,358
Oct_2006,Oct-06,"90002
(33.94895251300045, -118.24697958699971)",21.08,347
Nov_2006,Nov-06,"90002
(33.94895251300045, -118.24697958699971)",19.13,372
Dec_2006,Dec-06,"90002
(33.94895251300045, -118.24697958699971)",18.43,421
Jan_2007,Jan-07,"90002
(33.94895251300045, -118.24697958699971)",18.45,413
Feb_2007,Feb-07,"90002
(33.94895251300045, -118.24697958699971)",16.99,353
Mar_2007,Mar-07,"90002
(33.94895251300045, -118.24697958699971)",19.2,365
Apr_2007,Apr-07,"90002
(33.94895251300045, -118.24697958699971)",19.36,328
May_2007,May-07,"90002
(33.94895251300045, -118.24697958699971)",21.53,344
Jun_2007,Jun-07,"90002
(33.94895251300045, -118.24697958699971)",22.07,339
Jul_2007,Jul-07,"90002
(33.94895251300045, -118.24697958699971)",23.57,377
Aug_2007,Aug-07,"90002
(33.94895251300045, -118.24697958699971)",23.94,410
Sep_2007,Sep-07,"90002
(33.94895251300045, -118.24697958699971)",21.27,356
Oct_2007,Oct-07,"90002
(33.94895251300045, -118.24697958699971)",20.55,333
Nov_2007,Nov-07,"90002
(33.94895251300045, -118.24697958699971)",18.11,361
Dec_2007,Dec-07,"90002
(33.94895251300045, -118.24697958699971)",17.14,408
Jan_2008,Jan-08,"90002
(33.94895251300045, -118.24697958699971)",16.93,395
Feb_2008,Feb-08,"90002
(33.94895251300045, -118.24697958699971)",15.75,356
Mar_2008,Mar-08,"90002
(33.94895251300045, -118.24697958699971)",18.16,366
Apr_2008,Apr-08,"90002
(33.94895251300045, -118.24697958699971)",18.87,335
May_2008,May-08,"90002
(33.94895251300045, -118.24697958699971)",19.53,354
Jun_2008,Jun-08,"90002
(33.94895251300045, -118.24697958699971)",19.12,349
Jul_2008,Jul-08,"90002
(33.94895251300045, -118.24697958699971)",21.47,367
Aug_2008,Aug-08,"90002
(33.94895251300045, -118.24697958699971)",21.31,378
Sep_2008,Sep-08,"90002
(33.94895251300045, -118.24697958699971)",19.69,352
Oct_2008,Oct-08,"90002
(33.94895251300045, -118.24697958699971)",19.46,348
Nov_2008,Nov-08,"90002
(33.94895251300045, -118.24697958699971)",17.45,363
Dec_2008,Dec-08,"90002
(33.94895251300045, -118.24697958699971)",16.74,400
Jan_2009,Jan-09,"90002
(33.94895251300045, -118.24697958699971)",16.34,381
Feb_2009,Feb-09,"90002
(33.94895251300045, -118.24697958699971)",14.65,324
Mar_2009,Mar-09,"90002
(33.94895251300045, -118.24697958699971)",17.33,346
Apr_2009,Apr-09,"90002
(33.94895251300045, -118.24697958699971)",17.93,318
May_2009,May-09,"90002
(33.94895251300045, -118.24697958699971)",18.57,334
Jun_2009,Jun-09,"90002
(33.94895251300045, -118.24697958699971)",18.01,329
Jul_2009,Jul-09,"90002
(33.94895251300045, -118.24697958699971)",19.66,357
Aug_2009,Aug-09,"90002
(33.94895251300045, -118.24697958699971)",20.33,381
Sep_2009,Sep-09,"90002
(33.94895251300045, -118.24697958699971)",18.66,351
Oct_2009,Oct-09,"90002
(33.94895251300045, -118.24697958699971)",18.01,343
Nov_2009,Nov-09,"90002
(33.94895251300045, -118.24697958699971)",16.29,355
Dec_2009,Dec-09,"90002
(33.94895251300045, -118.24697958699971)",15.98,393
Jan_2010,Jan-10,"90002
(33.94895251300045, -118.24697958699971)",15.7,385
Feb_2010,Feb-10,"90002
(33.94895251300045, -118.24697958699971)",14.04,339
Mar_2010,Mar-10,"90002
(33.94895251300045, -118.24697958699971)",16.15,353
Apr_2010,Apr-10,"90002
(33.94895251300045, -118.24697958699971)",16.68,313
May_2010,May-10,"90002
(33.94895251300045, -118.24697958699971)",17.69,329
Jun_2010,Jun-10,"90002
(33.94895251300045, -118.24697958699971)",17.67,327
Jul_2010,Jul-10,"90002
(33.94895251300045, -118.24697958699971)",18.39,339
Aug_2010,Aug-10,"90002
(33.94895251300045, -118.24697958699971)",18.74,344
Sep_2010,Sep-10,"90002
(33.94895251300045, -118.24697958699971)",17.33,333
Oct_2010,Oct-10,"90002
(33.94895251300045, -118.24697958699971)",16.91,345
Nov_2010,Nov-10,"90002
(33.94895251300045, -118.24697958699971)",15.37,364
Dec_2010,Dec-10,"90002
(33.94895251300045, -118.24697958699971)",15.01,405
Jan_2011,Jan-11,"90002
(33.94895251300045, -118.24697958699971)",15.11,390
Feb_2011,Feb-11,"90002
(33.94895251300045, -118.24697958699971)",13.99,336
Mar_2011,Mar-11,"90002
(33.94895251300045, -118.24697958699971)",15.69,357
Apr_2011,Apr-11,"90002
(33.94895251300045, -118.24697958699971)",15.57,326
May_2011,May-11,"90002
(33.94895251300045, -118.24697958699971)",17.19,339
Jun_2011,Jun-11,"90002
(33.94895251300045, -118.24697958699971)",18.13,333
Jul_2011,Jul-11,"90002
(33.94895251300045, -118.24697958699971)",19.07,344
Aug_2011,Aug-11,"90002
(33.94895251300045, -118.24697958699971)",18.97,346
Sep_2011,Sep-11,"90002
(33.94895251300045, -118.24697958699971)",17.37,329
Oct_2011,Oct-11,"90002
(33.94895251300045, -118.24697958699971)",16.79,333
Nov_2011,Nov-11,"90002
(33.94895251300045, -118.24697958699971)",15.37,355
Dec_2011,Dec-11,"90002
(33.94895251300045, -118.24697958699971)",15.47,400
Jan_2012,Jan-12,"90002
(33.94895251300045, -118.24697958699971)",15.52,386
Feb_2012,Feb-12,"90002
(33.94895251300045, -118.24697958699971)",14.99,342
Mar_2012,Mar-12,"90002
(33.94895251300045, -118.24697958699971)",16.14,348
Apr_2012,Apr-12,"90002
(33.94895251300045, -118.24697958699971)",15.72,317
May_2012,May-12,"90002
(33.94895251300045, -118.24697958699971)",17.78,329
Jun_2012,Jun-12,"90002
(33.94895251300045, -118.24697958699971)",18.55,319
Jul_2012,Jul-12,"90002
(33.94895251300045, -118.24697958699971)",11.98,359
Aug_2012,Aug-12,"90002
(33.94895251300045, -118.24697958699971)",12.16,388
Sep_2012,Sep-12,"90002
(33.94895251300045, -118.24697958699971)",11,355
Oct_2012,Oct-12,"90002
(33.94895251300045, -118.24697958699971)",10.99,348
Nov_2012,Nov-12,"90002
(33.94895251300045, -118.24697958699971)",9.99,366
Dec_2013,Dec-12,"90002
(33.94895251300045, -118.24697958699971)",9.66,405
Jan_2013,Jan-13,"90002
(33.94895251300045, -118.24697958699971)",9.86,388
Feb_2013,Feb-13,"90002
(33.94895251300045, -118.24697958699971)",9.02,332
Mar_2013,Mar-13,"90002
(33.94895251300045, -118.24697958699971)",10.32,347
Apr_2013,Apr-13,"90002
(33.94895251300045, -118.24697958699971)",10.52,311
May_2013,May-13,"90002
(33.94895251300045, -118.24697958699971)",11.3,333
Jun_2013,Jun-13,"90002
(33.94895251300045, -118.24697958699971)",11.37,329
Jul_2005,Jul-05,"90003
(33.96335186100049, -118.27393599999971)",22.7,313
Aug_2005,Aug-05,"90003
(33.96335186100049, -118.27393599999971)",23.18,324
Sep_2005,Sep-05,"90003
(33.96335186100049, -118.27393599999971)",21.19,302
Oct_2005,Oct-05,"90003
(33.96335186100049, -118.27393599999971)",20.79,305
Nov_2005,Nov-05,"90003
(33.96335186100049, -118.27393599999971)",19.77,319
Dec_2005,Dec-05,"90003
(33.96335186100049, -118.27393599999971)",20.42,341
Jan_2006,Jan-06,"90003
(33.96335186100049, -118.27393599999971)",20.19,337
Feb_2006,Feb-06,"90003
(33.96335186100049, -118.27393599999971)",18.31,301
Mar_2006,Mar-06,"90003
(33.96335186100049, -118.27393599999971)",20.27,323
Apr_2006,Apr-06,"90003
(33.96335186100049, -118.27393599999971)",19.02,302
May_2006,May-06,"90003
(33.96335186100049, -118.27393599999971)",20.71,314
Jun_2006,Jun-06,"90003
(33.96335186100049, -118.27393599999971)",20.97,309
Jul_2006,Jul-06,"90003
(33.96335186100049, -118.27393599999971)",21.98,333
Aug_2006,Aug-06,"90003
(33.96335186100049, -118.27393599999971)",22.37,342
Sep_2006,Sep-06,"90003
(33.96335186100049, -118.27393599999971)",20.75,310
Oct_2006,Oct-06,"90003
(33.96335186100049, -118.27393599999971)",20.52,309
Nov_2006,Nov-06,"90003
(33.96335186100049, -118.27393599999971)",19.22,334
Dec_2006,Dec-06,"90003
(33.96335186100049, -118.27393599999971)",19.36,364
Jan_2007,Jan-07,"90003
(33.96335186100049, -118.27393599999971)",19.37,355
Feb_2007,Feb-07,"90003
(33.96335186100049, -118.27393599999971)",17.71,310
Mar_2007,Mar-07,"90003
(33.96335186100049, -118.27393599999971)",20.18,321
Apr_2007,Apr-07,"90003
(33.96335186100049, -118.27393599999971)",19.72,296
May_2007,May-07,"90003
(33.96335186100049, -118.27393599999971)",20.59,306
Jun_2007,Jun-07,"90003
(33.96335186100049, -118.27393599999971)",20.38,297
Jul_2007,Jul-07,"90003
(33.96335186100049, -118.27393599999971)",21.6,337
Aug_2007,Aug-07,"90003
(33.96335186100049, -118.27393599999971)",22.01,355
Sep_2007,Sep-07,"90003
(33.96335186100049, -118.27393599999971)",20.59,316
Oct_2007,Oct-07,"90003
(33.96335186100049, -118.27393599999971)",20.43,311
Nov_2007,Nov-07,"90003
(33.96335186100049, -118.27393599999971)",18.76,333
Dec_2007,Dec-07,"90003
(33.96335186100049, -118.27393599999971)",18.64,362
Jan_2008,Jan-08,"90003
(33.96335186100049, -118.27393599999971)",18.2,355
Feb_2008,Feb-08,"90003
(33.96335186100049, -118.27393599999971)",16.67,325
Mar_2008,Mar-08,"90003
(33.96335186100049, -118.27393599999971)",18.84,325
Apr_2008,Apr-08,"90003
(33.96335186100049, -118.27393599999971)",18.97,297
May_2008,May-08,"90003
(33.96335186100049, -118.27393599999971)",19.77,313
Jun_2008,Jun-08,"90003
(33.96335186100049, -118.27393599999971)",19.15,307
Jul_2008,Jul-08,"90003
(33.96335186100049, -118.27393599999971)",20.46,332
Aug_2008,Aug-08,"90003
(33.96335186100049, -118.27393599999971)",20.61,341
Sep_2008,Sep-08,"90003
(33.96335186100049, -118.27393599999971)",19.78,315
Oct_2008,Oct-08,"90003
(33.96335186100049, -118.27393599999971)",19.81,315
Nov_2008,Nov-08,"90003
(33.96335186100049, -118.27393599999971)",18.41,331
Dec_2008,Dec-08,"90003
(33.96335186100049, -118.27393599999971)",18.34,359
Jan_2009,Jan-09,"90003
(33.96335186100049, -118.27393599999971)",18.05,345
Feb_2009,Feb-09,"90003
(33.96335186100049, -118.27393599999971)",16.1,301
Mar_2009,Mar-09,"90003
(33.96335186100049, -118.27393599999971)",18.22,318
Apr_2009,Apr-09,"90003
(33.96335186100049, -118.27393599999971)",17.99,293
May_2009,May-09,"90003
(33.96335186100049, -118.27393599999971)",18.82,303
Jun_2009,Jun-09,"90003
(33.96335186100049, -118.27393599999971)",18.2,294
Jul_2009,Jul-09,"90003
(33.96335186100049, -118.27393599999971)",19.65,326
Aug_2009,Aug-09,"90003
(33.96335186100049, -118.27393599999971)",19.91,344
Sep_2009,Sep-09,"90003
(33.96335186100049, -118.27393599999971)",18.8,313
Oct_2009,Oct-09,"90003
(33.96335186100049, -118.27393599999971)",18.73,310
Nov_2009,Nov-09,"90003
(33.96335186100049, -118.27393599999971)",17.62,323
Dec_2009,Dec-09,"90003
(33.96335186100049, -118.27393599999971)",17.65,349
Jan_2010,Jan-10,"90003
(33.96335186100049, -118.27393599999971)",17.24,345
Feb_2010,Feb-10,"90003
(33.96335186100049, -118.27393599999971)",15.19,306
Mar_2010,Mar-10,"90003
(33.96335186100049, -118.27393599999971)",17.27,315
Apr_2010,Apr-10,"90003
(33.96335186100049, -118.27393599999971)",17.25,285
May_2010,May-10,"90003
(33.96335186100049, -118.27393599999971)",18.17,293
Jun_2010,Jun-10,"90003
(33.96335186100049, -118.27393599999971)",17.69,284
Jul_2010,Jul-10,"90003
(33.96335186100049, -118.27393599999971)",18.75,306
Aug_2010,Aug-10,"90003
(33.96335186100049, -118.27393599999971)",19.23,312
Sep_2010,Sep-10,"90003
(33.96335186100049, -118.27393599999971)",18.05,300
Oct_2010,Oct-10,"90003
(33.96335186100049, -118.27393599999971)",17.94,309
Nov_2010,Nov-10,"90003
(33.96335186100049, -118.27393599999971)",16.74,330
Dec_2010,Dec-10,"90003
(33.96335186100049, -118.27393599999971)",17.18,356
Jan_2011,Jan-11,"90003
(33.96335186100049, -118.27393599999971)",17.09,341
Feb_2011,Feb-11,"90003
(33.96335186100049, -118.27393599999971)",15.13,297
Mar_2011,Mar-11,"90003
(33.96335186100049, -118.27393599999971)",17.04,315
Apr_2011,Apr-11,"90003
(33.96335186100049, -118.27393599999971)",16.77,292
May_2011,May-11,"90003
(33.96335186100049, -118.27393599999971)",17.69,302
Jun_2011,Jun-11,"90003
(33.96335186100049, -118.27393599999971)",17.44,293
Jul_2011,Jul-11,"90003
(33.96335186100049, -118.27393599999971)",18.47,309
Aug_2011,Aug-11,"90003
(33.96335186100049, -118.27393599999971)",18.68,314
Sep_2011,Sep-11,"90003
(33.96335186100049, -118.27393599999971)",17.59,296
Oct_2011,Oct-11,"90003
(33.96335186100049, -118.27393599999971)",17.58,301
Nov_2011,Nov-11,"90003
(33.96335186100049, -118.27393599999971)",16.6,328
Dec_2011,Dec-11,"90003
(33.96335186100049, -118.27393599999971)",16.94,360
Jan_2012,Jan-12,"90003
(33.96335186100049, -118.27393599999971)",16.83,342
Feb_2012,Feb-12,"90003
(33.96335186100049, -118.27393599999971)",15.78,306
Mar_2012,Mar-12,"90003
(33.96335186100049, -118.27393599999971)",17.08,313
Apr_2012,Apr-12,"90003
(33.96335186100049, -118.27393599999971)",16.69,293
May_2012,May-12,"90003
(33.96335186100049, -118.27393599999971)",17.91,296
Jun_2012,Jun-12,"90003
(33.96335186100049, -118.27393599999971)",17.88,284
Jul_2012,Jul-12,"90003
(33.96335186100049, -118.27393599999971)",11.31,320
Aug_2012,Aug-12,"90003
(33.96335186100049, -118.27393599999971)",11.54,339
Sep_2012,Sep-12,"90003
(33.96335186100049, -118.27393599999971)",10.57,319
Oct_2012,Oct-12,"90003
(33.96335186100049, -118.27393599999971)",10.6,322
Nov_2012,Nov-12,"90003
(33.96335186100049, -118.27393599999971)",9.54,329
Dec_2013,Dec-12,"90003
(33.96335186100049, -118.27393599999971)",9.61,352
Jan_2013,Jan-13,"90003
(33.96335186100049, -118.27393599999971)",9.68,345
Feb_2013,Feb-13,"90003
(33.96335186100049, -118.27393599999971)",8.73,303
Mar_2013,Mar-13,"90003
(33.96335186100049, -118.27393599999971)",9.96,308
Apr_2013,Apr-13,"90003
(33.96335186100049, -118.27393599999971)",10,277
May_2013,May-13,"90003
(33.96335186100049, -118.27393599999971)",10.84,295
Jun_2013,Jun-13,"90003
(33.96335186100049, -118.27393599999971)",10.94,292
Jul_2005,Jul-05,"90004
(34.07572239300049, -118.30301712299968)",47.97,383
Aug_2005,Aug-05,"90004
(34.07572239300049, -118.30301712299968)",48.84,409
Sep_2005,Sep-05,"90004
(34.07572239300049, -118.30301712299968)",43.76,366
Oct_2005,Oct-05,"90004
(34.07572239300049, -118.30301712299968)",42.15,359
Nov_2005,Nov-05,"90004
(34.07572239300049, -118.30301712299968)",38.21,371
Dec_2005,Dec-05,"90004
(34.07572239300049, -118.30301712299968)",38.37,393
Jan_2006,Jan-06,"90004
(34.07572239300049, -118.30301712299968)",37.57,394
Feb_2006,Feb-06,"90004
(34.07572239300049, -118.30301712299968)",33.57,356
Mar_2006,Mar-06,"90004
(34.07572239300049, -118.30301712299968)",37.16,381
Apr_2006,Apr-06,"90004
(34.07572239300049, -118.30301712299968)",36.21,358
May_2006,May-06,"90004
(34.07572239300049, -118.30301712299968)",41.63,383
Jun_2006,Jun-06,"90004
(34.07572239300049, -118.30301712299968)",43.35,385
Jul_2006,Jul-06,"90004
(34.07572239300049, -118.30301712299968)",46.35,433
Aug_2006,Aug-06,"90004
(34.07572239300049, -118.30301712299968)",48.02,458
Sep_2006,Sep-06,"90004
(34.07572239300049, -118.30301712299968)",43.99,386
Oct_2006,Oct-06,"90004
(34.07572239300049, -118.30301712299968)",43.33,362
Nov_2006,Nov-06,"90004
(34.07572239300049, -118.30301712299968)",39.5,386
Dec_2006,Dec-06,"90004
(34.07572239300049, -118.30301712299968)",38.79,415
Jan_2007,Jan-07,"90004
(34.07572239300049, -118.30301712299968)",38.4,412
Feb_2007,Feb-07,"90004
(34.07572239300049, -118.30301712299968)",34.23,367
Mar_2007,Mar-07,"90004
(34.07572239300049, -118.30301712299968)",39.93,377
Apr_2007,Apr-07,"90004
(34.07572239300049, -118.30301712299968)",40.29,345
May_2007,May-07,"90004
(34.07572239300049, -118.30301712299968)",43.53,359
Jun_2007,Jun-07,"90004
(34.07572239300049, -118.30301712299968)",43.44,350
Jul_2007,Jul-07,"90004
(34.07572239300049, -118.30301712299968)",45.92,416
Aug_2007,Aug-07,"90004
(34.07572239300049, -118.30301712299968)",46.87,454
Sep_2007,Sep-07,"90004
(34.07572239300049, -118.30301712299968)",41.98,381
Oct_2007,Oct-07,"90004
(34.07572239300049, -118.30301712299968)",40.88,361
Nov_2007,Nov-07,"90004
(34.07572239300049, -118.30301712299968)",36.85,390
Dec_2007,Dec-07,"90004
(34.07572239300049, -118.30301712299968)",35.53,421
Jan_2008,Jan-08,"90004
(34.07572239300049, -118.30301712299968)",34.14,411
Feb_2008,Feb-08,"90004
(34.07572239300049, -118.30301712299968)",31.01,377
Mar_2008,Mar-08,"90004
(34.07572239300049, -118.30301712299968)",36.73,374
Apr_2008,Apr-08,"90004
(34.07572239300049, -118.30301712299968)",39.2,344
May_2008,May-08,"90004
(34.07572239300049, -118.30301712299968)",42.07,380
Jun_2008,Jun-08,"90004
(34.07572239300049, -118.30301712299968)",41.57,385
Jul_2008,Jul-08,"90004
(34.07572239300049, -118.30301712299968)",44.32,414
Aug_2008,Aug-08,"90004
(34.07572239300049, -118.30301712299968)",44.56,430
Sep_2008,Sep-08,"90004
(34.07572239300049, -118.30301712299968)",41.37,388
Oct_2008,Oct-08,"90004
(34.07572239300049, -118.30301712299968)",41.16,383
Nov_2008,Nov-08,"90004
(34.07572239300049, -118.30301712299968)",36.85,389
Dec_2008,Dec-08,"90004
(34.07572239300049, -118.30301712299968)",35.03,413
Jan_2009,Jan-09,"90004
(34.07572239300049, -118.30301712299968)",33.78,398
Feb_2009,Feb-09,"90004
(34.07572239300049, -118.30301712299968)",29.89,349
Mar_2009,Mar-09,"90004
(34.07572239300049, -118.30301712299968)",35.41,368
Apr_2009,Apr-09,"90004
(34.07572239300049, -118.30301712299968)",37.31,340
