Fund,Fund Name,Cash,Department Name,Fund Purpose,Sources of Funds,Eligible Uses,Fund Category,Ending Fund Balance,Assets,Liabilities,Grant Receivable Asset,Other Assets,Current Collected Revenue,Cash Disbursement,Outstanding Commitment,Date Fund Established,Fund Group Name,Fund Type Name,Council File Link,Fund Origin Council File #,Department,Fund Origin Ordinance #,Amending Ordinances,Code Section,Fund Origin Resolution,Amending Resolution,Currently on Budget,Replacement of GF Allowed,Any Overhead Costs Remitted to GF,Overhead Costs Reimbursement Eligibility,Interest to GF,Interest Reversion Eligibility,GF Reversion,Inactive Fund - Close,Contact,Phone,Email
154,Gen Oblig Bds Elec89 Lib-Const,$1041.23,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Branch Library Facilities Projects",GO Bonds,"Acquisition, construction and rehabilitation of branch library facilities located throughout the City.",Library,$1041.23,$1041.23,$0.00,$0.00,$0.00,$2.92,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,,"88-1209, 88-2067-S1",50,165842,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
155,Gen Oblig Bds Elec89 Pol-Const,$72535.68,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Police Facilities Projects",89 Police GO Bond,"Police Facilities Projects means the acquisition, expansion, construction and/or renovation of police facilities.","Police, Fire and 911 Facilities",$72535.68,$72535.68,$0.00,$0.00,$0.00,$175.09,$0.00,$44177.85,06/30/1987,Governmental,Capital Projects,,"88-1209, 88-2067-S1",50,165842,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
156,Gen Oblig Bds Elec89 Fireconst,$658402.31,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Fire Safety Improvement Projects",GO Bonds,"Per the Resolution, 'Fire Safety Improvement Projects' means the design and construction of fire sprinklers and fire life safety systems, asbestos removal, handicapped access, and related costs, for the six pre-1974 municipal buildings over 75 feet tall. ","Police, Fire and 911 Facilities",$658402.31,$658402.31,$0.00,$0.00,$0.00,$2855.61,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,,"88-1209, 88-2067-S1",50,165842,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
157,Gen Ob Bds Elec89 Excess Earn,$9890.33,Office of Finance,To hold money that the Treasurer finds to be earnings in excess of the yield on the Bonds,Excess of the  yield on the Bonds.,Payments to the United States or for transfer to other funds or accounts pertaining to the Bonds in accordance with the City's Nonarbitrage Certificate for the Bonds.,Debt Service,$9890.33,$9890.33,$0.00,$0.00,$0.00,$23.55,$0.00,$0.00,06/30/1987,Governmental,Special Revenue,,"88-2067S1, 881209, 88-0828S7",39,165842,,,,,No,No,No,No,No,No,No,No,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
158,Gen Oblig Bds Ser90-B Pub Work,$0.00,CAO Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Seismic Improvement Projects",GO Bonds,"Seismic Improvement Projects means the reinforcement, renovation and replacement of City-owned seismically deficient bridges and buildings.",Seismic Improvement,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=89-2249-S2,89-2249-S2,50,165550,,,,,No,No,No,Yes,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
159,Gen Oblig Bds Ser90-B Rec & Pk,$0.00,CAO Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Seismic Improvement Projects",GO Bonds,"Seismic Improvement Projects means the reinforcement, renovation and replacement of City-owned seismically deficient bridges and buildings.",Seismic Improvement,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,,,50,,,,,,No,No,No,Yes,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
15A,Gob Ser 2000A Lib Fac Construc,$745085.72,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Branch Library Facilities Projects",Sale of General Obligation (GO) Bonds,Only for branch library facilities and costs of bonds issuance,Library,$739216.73,$745085.72,$5868.99,$0.00,$0.00,$1797.85,$0.00,$236752.90,11/08/2000,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-1987,00-1987,50,173593,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15B,GOB Ser2000A Excess Earnings,$0.00,Office of Finance,To hold money that the Treasurer finds to be earnings in excess of the yield on the Bonds,Construction Fund and Debt Service Fund,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/14/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-1987,00-1987,39,173593,, ,,,No,No,No,No,Yes,Not Applicable,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
15E,Gob Series 2001A Library Const,$1111579.93,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Branch Library Facilities Projects",Series 2001-A Bonds,Branch library facilities,Library,$1087829.42,$1111579.93,$23750.51,$0.00,$0.00,$2682.28,$0.00,$245590.64,08/02/2001,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1440,01-1440,50,174133,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15F,Gob Series 2001A Zoo Imp Const,$781725.78,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Zoo improvement projects,Series 2001-A Bonds,Zoo improvement projects,Recreation and Parks,$593465.78,$781725.78,$188260.00,$0.00,$0.00,$4599.13,$806895.19,$178463.16,08/02/2001,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1440,01-1440,50,174133,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15G,Gob Series 2001A Anim Sh Const,$284046.46,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Animal shelter facilities,Series 2001-A Bonds,Animal shelter facilities,Animal Shelter Facilities,$284046.46,$284046.46,$0.00,$0.00,$0.00,$759.03,$27525.00,$187006.00,08/02/2001,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1440,01-1440,50,174133,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15H,Gob Series 2001A Fire/Pr Const,$5022462.47,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Fire/Paramedic emergency helicopter facilities,Series 2001-A Bonds,Fire/Paramedic emergency helicopter facilities,"Police, Fire and 911 Facilities",$5022327.60,$5022462.47,$134.87,$0.00,$0.00,$12163.24,$6517.04,$677316.06,08/02/2001,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1440,01-1440,50,174133,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15J,GOB Series 2001A Excess Earnings,$0.00,Office of Finance,Shall be used to hold money that the Treasurer finds to be earnings in excess of yield on the Bonds,Construction Fund and Debt Service Fund,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/02/2001,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1440,01-1440,39,174133,, ,,,No,No,No,No,Yes,Not Applicable,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
15K,Gob Series 2002A Zoo Imp Const,$2071505.22,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Money from the sale of the bonds shall be used for Zoo improvement projects,Series 2002-A Bonds,Zoo improvement projects,Recreation and Parks,$2071505.22,$2071505.22,$0.00,$0.00,$0.00,$7041.10,$645864.12,$234715.43,08/15/2002,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,50,174628,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15L,Gob Series 2002A Anim Sh Const,$792100.85,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Money from the sale of the bonds shall be used for Animal Shelter Facilities,Series 2002-A Bonds,Animal Shelter Facilities,Animal Shelter Facilities,$784104.37,$792100.85,$7996.48,$0.00,$0.00,$1822.73,$13037.72,$89667.98,08/15/2002,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,50,174628,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15M,Gob Series 2002A Fire/Pr Const,$1615398.74,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Money from the sale of the bonds shall be used for Fire/Paramedic Projects,Series 2002-A Bonds,Fire/Paramedic Projects,"Police, Fire and 911 Facilities",$1533238.79,$1615398.74,$82159.95,$0.00,$0.00,$10743.98,$1867726.67,$439413.26,08/15/2002,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,50,174628,,,,,Yes,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15N,Gob Series 2002A 911/P/F Const,$4327876.46,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Money from the sale of the bonds shall be used for 911-Police-Fire-Paramedic Projects,Series 2002-A Bonds,911-Police-Paramedic Projects,"Police, Fire and 911 Facilities",$4325836.97,$4327876.46,$2039.49,$0.00,$0.00,$11052.34,$138091.04,$3332851.43,08/15/2002,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,50,174628,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15P,Gob 2002A Cost Issu / Prj Prem,$0.00,City Administrative Officer,To pay all expenses incident to the sale and issuance of the Series 2002-A Bonds and the GO Bonds,Series 2002-A Bonds,"Pay expenses incident to the sale and issuance of the Bonds. After payment of all costs of issuance any money then remaining in the Fund, including any interest earnings shall be transferred on a pro-rata basis to the respective Construction Funds. ",Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$1053.96,$0.00,$0.00,08/15/2002,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,10,174628,,,,,No,No,No,No,No,No,No,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
15Q,GOB Series 2002A Excess Earnings,$0.00,Office of Finance,Shall be used to hold money that the Treasurer finds to be earnings in excess of yield on the Bonds,Series 2002-A Bonds,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/15/2002,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,39,174628,, ,,,No,No,No,No,No,No,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
15R,GOB Rf Ser 2002B Excess Earnings,$0.00,Office of Finance,Shall be used to hold money that the Treasurer finds to be earnings in excess of yield on the Bonds,Series 2002-A Bonds and 2002-B Bonds,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/15/2002,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-1038-S1,02-1038-S1,39,174628,, ,,,No,No,No,No,No,No,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
15S,Gob Series 2003A Anim Sh Const,$7194885.43,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Animal Shelter Facilities,Series 2003-A Bonds,Animal Shelter Facilities,Animal Shelter Facilities,$7082979.77,$7194885.43,$111905.66,$0.00,$0.00,$18512.46,$281062.23,$618544.93,08/06/2003,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,50,175367,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15T,Gob Series 2003A Fire/Pr Const,$20816386.48,Engineering Non-Departmental - Appropriations to Special Purpose Fund,Fire/Paramedic Emergency Helicopter Projects,Series 2003-A Bonds,Fire/Paramedic,"Police, Fire and 911 Facilities",$20808447.57,$20816386.48,$7938.91,$0.00,$0.00,$52917.07,$877171.79,$3001271.69,08/06/2003,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,50,175367,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15U,Gob Series 2003A 911/P/F Const,$11000499.87,Engineering Non-Departmental - Appropriations to Special Purpose Fund,911-Fire-Paramedic Facilities Project,Series 2003-A Bonds,911-Fire-Paramedic Facilities Project,"Police, Fire and 911 Facilities",$10923986.33,$11000499.87,$76513.54,$0.00,$0.00,$26537.69,$4920.38,$8616077.78,08/06/2003,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,50,175367,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
15V,Gob 2003A Rf 2003B Costs Issu,$0.00,City Administrative Officer,To Pay all expenses incident to the sale and issuance of the Series 2003-A Bonds and 2003-B Bonds,Series 2003-A Bonds and 2003-B Bonds,"Pay expenses incident to the sale and issuance of the Bonds. After payment of all costs of issuance any money then remaining in the Fund, including any interest earnings shall be transferred on a pro-rata basis to the respective Construction Funds. ",Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$96.55,$0.00,$0.00,08/06/2003,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,10,175367,,,,,No,No,No,No,No,No,No,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
15W,GOB Series 2003A Excess Earnings,$0.00,Office of Finance,Shall be used to hold money that the Treasurer finds to be earnings in excess of yield on the Bonds,Series 2003-A Bonds,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/06/2003,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,39,175367,, ,,,No,No,No,No,No,No,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
15X,GOB Rf Ser 2003B Excess Earnings,$0.00,Office of Finance,Shall be used to hold money that the Treasurer finds to be earnings in excess of yield on the Bonds,Series 2003-B Bonds and Series 2003-B Debt Service Fund,Money in the Excess Earnings Fund shall be used only for payments to the United States or for deposit into other funds in accordance with the City's Tax Certificate for Bonds,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/06/2003,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-1442,03-1442,39,175367,, ,,,No,No,No,No,No,No,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
161,Branch Library Gob City La Pro,$9404.67,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Branch Library Facilities Projects",GO Bonds,"Branch Library Facilities Projects means the acquisition, construction and rehabilitation of branch library facilities located throughout the City",Library,$9404.67,$9404.67,$0.00,$0.00,$0.00,$22.50,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=91-1121,91-1121,50,167101,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
162,Police Facilities Gob City Of,$201407.35,Engineering Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Police Facilities Projects",91 Police GO Bond,"Police Facilities Projects means the acquisition, expansion, construction and/or renovation of police facilities.","Police, Fire and 911 Facilities",$122376.65,$201407.35,$79030.70,$0.00,$0.00,$487.72,$0.00,$8279.56,06/30/1987,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=91-1121,91-1121,50,167101,,,,,No,No,Yes,Yes,No,No,No,No,Robert Kadomatsu,(213) 485-4944,robert.kadomatsu@lacity.org
163,City Bldgs Fire Sprinkler Gob,$1336497.69,CAO Non-Departmental - Appropriations to Special Purpose Fund,For the purpose of receiving and disbursing bond proceeds,Fire Life Safety GO Bond,"Per the Resolution, 'Fire Safety Improvement Projects' means the design and construction of fire sprinklers and fire life safety systems, asbestos removal, handicapped access, and related costs, for the six pre-1974 municipal buildings over 75 feet tall (City Hall, City Hall South, City Hall East, Parker Center, Van Nuys City Hall, San Pedro City Hall). ",Fire Prevention and Emergency Preparedness,$1262722.46,$1336497.69,$73775.23,$0.00,$0.00,$3627.72,$0.00,$0.00,06/30/1987,Governmental,Capital Projects,,"91-1121
88-0828-S4",50,167101,,,,,No,No,No,Yes,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
164,Seismically Deficient Brid Gob,$2024.10,CAO Non-Departmental - Appropriations to Special Purpose Fund,"For the purpose of receiving and disbursing money from the GO financing, in order to pay costs associated to the Seismic Improvement Projects",GO Bonds,"Seismic Improvement Projects means the reinforcement, renovation and replacement of City-owned seismically deficient bridges and buildings.",Seismic Improvement,$2024.10,$2024.10,$0.00,$0.00,$0.00,$183.62,$0.00,$0.00,07/01/1994,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=91-1121,91-1121,50,167101,,,,,No,No,No,Yes,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
