Year,Department Title,Employee Count,Total Payroll,# Female,# Male,% Female,% Male,Female Total Salary,Male Total Salary,Female Average Salary,Male Average Salary,% Payroll to Women,% Payroll to Men
2013,Police,12673,$1186570176.84,3621,9052,28.57%,71.43%,$312699681.10,$873870495.74,$86357.27,$96538.94,26.35%,73.65%
2013,Public Works - Board of Public Works,82,$6340902.58,54,28,65.85%,34.15%,$4197759.40,$2143143.18,$77736.29,$76540.83,66.2%,33.8%
2013,Public Works - Contract Administration,285,$26727544.63,44,241,15.44%,84.56%,$3486513.87,$23241030.76,$79238.95,$96435.81,13.04%,86.96%
2013,Public Works - Engineering,702,$65871550.07,198,504,28.21%,71.79%,$15738879.36,$50132670.71,$79489.29,$99469.58,23.89%,76.11%
2013,Public Works - Sanitation,2314,$184812468.94,453,1861,19.58%,80.42%,$33545062.29,$151267406.65,$74050.91,$81282.86,18.15%,81.85%
2013,Public Works - Street Lighting,203,$16853323.67,36,167,17.73%,82.27%,$2906072.84,$13947250.83,$80724.25,$83516.47,17.24%,82.76%
2013,Public Works - Street Services,907,$70229829.39,134,773,14.77%,85.23%,$9149344.33,$61080485.06,$68278.69,$79017.45,13.03%,86.97%
2013,Recreation and Parks,1363,$90345422.68,368,995,27%,73%,$24595131.18,$65750291.50,$66834.60,$66080.69,27.22%,72.78%
2013,Transportation,1290,$105772896.87,417,873,32.33%,67.67%,$29628782.17,$76144114.70,$71052.24,$87221.21,28.01%,71.99%
2013,Zoo,196,$12631383.14,107,89,54.59%,45.41%,$6605003.92,$6026379.22,$61729.01,$67712.13,52.29%,47.71%
2013,City Council,281,$15953889.46,133,148,47.33%,52.67%,$6953997.99,$8999891.47,$52285.70,$60810.08,43.59%,56.41%
