ID NUMBER,FISCAL YEAR,DEPARTMENT NAME,VENDOR NAME,TRANSACTION DATE,DOLLAR AMOUNT,AUTHORITY,BUSINESS TAX REGISTRATION CERTIFICATE,GOVERNMENT ACTIVITY,FUND GROUP NAME,FUND TYPE,FUND NAME,FUND,ACCOUNT NAME,ACCOUNT CODE,TRANSACTION ID,EXPENDITURE TYPE,SETTLEMENT/JUDGMENT,FISCAL MONTH NUMBER,FISCAL YEAR-MONTH,FISCAL YEAR-QUARTER,CALENDAR MONTH NUMBER,CALENDAR MONTH/YEAR,CALENDAR MONTH,DATA SOURCE,AUTHORITY NAME,AUTHORITY LINK,DEPARTMENT NUMBER,PROGRAM,VENDOR ID,ZIP,PAYMENT METHOD,PAYMENT STATUS,INV NUM,INVOICE DUE DATE,INVOICE DISCOUNT DUE DATE,INV DATE,INV LINE,INVOICE DISTRIBUTION LINE,PO NUM,DESCRIPTION,DETAILED ITEM DESCRIPTION,UNIT PRICE,UNIT OF MEASURE,QUANTITY,SALES TAX PERCENT,SALES TAX,DISCOUNT,RECEIVER ID,PO DATE,PO LINE NUMBER,PROCUREMENT ORGANIZATION,BUYER NAME,SUPPLIER CITY,SUPPLIER COUNTRY,BU NAME,SITE LOCATION,ITEM CODE,ITEM CODE NAME,CURRENCY,VALUE OF SPEND,VENDOR NUM
1547133,2015,AGING,ONEGENERATION,10/20/2014,$36087.00,CO119601,0000611371,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02KAA2,AD26150000023505,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ONEGENERATION,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119601,02,SENIOR SERVICES,100002398,91406,CHECK,PAID,GAX0215395020061,,,09/18/2014,1,2,GAE02CO14119601Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100002398 - ONEGENERATION
1547042,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$35311.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02LA02,EFT26150000002441,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020043,,,09/12/2014,1,2,GAE02CO15119332Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547042,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$35311.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02LA02,EFT26150000002441,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020043,,,09/12/2014,1,2,GAE02CO15119332Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
410602,2015,AGING,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA INC,07/31/2014,$34226.00,CO119596,0000172776,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02KQ04,AD26150000006408,CONTRIBUTIONS TO OTHER AGENCIES,,1,2015-01 (JUL),2015-01,7,"JULY,2014",JULY     ,FMS,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNORIA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119596,02,SENIOR SERVICES,100000276,90006,CHECK,PAID,GAX0215395020013,,,06/24/2014,1,6,GAE02CO14119596Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,15,,,,,,,,,,,100000276 - PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA INC
1547130,2015,AGING,ONEGENERATION,10/20/2014,$34083.00,CO119601,0000611371,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,C1 SPECIAL NUTRITION FUNDS,02KAA3,AD26150000023504,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ONEGENERATION,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119601,02,SENIOR SERVICES,100002398,91406,CHECK,PAID,GAX0215395020060,,,09/18/2014,3,6,GAE02CO14119601Y,C1 SPECIAL NUTRITION FUNDS,,,,,,,,,,12,,,,,,,,,,,100002398 - ONEGENERATION
1547130,2015,AGING,ONEGENERATION,10/20/2014,$34083.00,CO119601,0000611371,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,C1 SPECIAL NUTRITION FUNDS,02KAA3,AD26150000023504,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ONEGENERATION,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119601,02,SENIOR SERVICES,100002398,91406,CHECK,PAID,GAX0215395020060,,,09/18/2014,3,6,GAE02CO14119601Y,C1 SPECIAL NUTRITION FUNDS,,,,,,,,,,12,,,,,,,,,,,100002398 - ONEGENERATION
1547147,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/02/2014,$33700.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,C1 SPECIAL NUTRITION FUNDS,02KAA3,EFT26150000002314,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,SENIOR SERVICES,100025319,90057,EFT,PAID,GAX0215395020034,,,09/12/2014,1,11,GAE02CO14119332Y,C1 SPECIAL NUTRITION FUNDS,,,,,,,,,,16,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547147,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/02/2014,$33700.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,C1 SPECIAL NUTRITION FUNDS,02KAA3,EFT26150000002314,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,SENIOR SERVICES,100025319,90057,EFT,PAID,GAX0215395020034,,,09/12/2014,1,11,GAE02CO14119332Y,C1 SPECIAL NUTRITION FUNDS,,,,,,,,,,16,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
434193,2015,AGING,"PARTNERS IN CARE FOUNDATION, INC.",09/17/2014,$33592.00,CO123556,0000681522,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,PREVENTIVE HEALTH III D,02KAA6,AD26150000017605,CONTRIBUTIONS TO OTHER AGENCIES,,3,2015-03 (SEP),2015-01,9,"SEPTEMBER,2014",SEPTEMBER,FMS,"PARTNERS IN CARE FOUNDATION, INC.",http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-123556,02,SENIOR SERVICES,100016196,91340,CHECK,PAID,GAX0215395020031,,,08/25/2014,1,1,GAE02CO14123556Y,PREVENTIVE HEALTH III D,,,,,,,,,,1,,,,,,,,,,,"100016196 - PARTNERS IN CARE FOUNDATION, INC."
1547049,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$32990.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02LA02,EFT26150000002443,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020045,,,09/12/2014,1,2,GAE02CO15119332Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547049,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$32990.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02LA02,EFT26150000002443,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020045,,,09/12/2014,1,2,GAE02CO15119332Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547091,2015,AGING,INTERNATIONAL INSTITUTE OF LOS ANGELES,10/16/2014,$32535.00,CO119666,0000472223,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS III C2,02LA04,EFT26150000002706,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,INTERNATIONAL INSTITUTE OF LA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119666,02,SENIOR SERVICES,100005037,90031,EFT,PAID,GAX0215395020058,,,09/26/2014,1,4,GAE02CO15119666Y,HOME DELIVERED MEALS III C2,,,,,,,,,,5,,,,,,,,,,,100005037 - INTERNATIONAL INSTITUTE OF LOS ANGELES
1547091,2015,AGING,INTERNATIONAL INSTITUTE OF LOS ANGELES,10/16/2014,$32535.00,CO119666,0000472223,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS III C2,02LA04,EFT26150000002706,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,INTERNATIONAL INSTITUTE OF LA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119666,02,SENIOR SERVICES,100005037,90031,EFT,PAID,GAX0215395020058,,,09/26/2014,1,4,GAE02CO15119666Y,HOME DELIVERED MEALS III C2,,,,,,,,,,5,,,,,,,,,,,100005037 - INTERNATIONAL INSTITUTE OF LOS ANGELES
421372,2015,AGING,CENTER FOR HEALTH CARE RIGHTS,08/18/2014,$30559.00,CO119231,0000709737,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,HEALTH INS COUNS ADV (HICAP),47Y,HICAP,02KDD1,AD26150000009910,CONTRIBUTIONS TO OTHER AGENCIES,,2,2015-02 (AUG),2015-01,8,"AUGUST,2014",AUGUST   ,FMS,CENTER FOR HEALTH CARE RIGHTS,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119231,02,SENIOR SERVICES,100005036,90057,CHECK,PAID,GAX021547Y020003,,,07/21/2014,1,3,GAE02CO14119231Y,HICAP,,,,,,,,,,7,,,,,,,,,,,100005036 - CENTER FOR HEALTH CARE RIGHTS
1547053,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$28790.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02LQ04,EFT26150000002444,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020046,,,09/12/2014,2,3,GAE02CO15119332Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,7,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547053,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$28790.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02LQ04,EFT26150000002444,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020046,,,09/12/2014,2,3,GAE02CO15119332Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,7,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547046,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$28557.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02LQ04,EFT26150000002442,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020044,,,09/12/2014,2,3,GAE02CO15119332Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,7,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547046,2015,AGING,SAINT BARNABAS SENIOR CENTER OF LOS ANGELES,10/08/2014,$28557.00,CO119332,0000563835,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02LQ04,EFT26150000002442,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ST BARNABAS SR CENTER,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119332,02,AREA PLAN FOR THE AGING TIT 7,100025319,90057,EFT,PAID,GAX0215395020044,,,09/12/2014,2,3,GAE02CO15119332Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,7,,,,,,,,,,,100025319 - SAINT BARNABAS SENIOR CENTER OF LOS ANGELES
1547090,2015,AGING,INTERNATIONAL INSTITUTE OF LOS ANGELES,10/16/2014,$28242.00,CO119666,0000472223,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02LA02,EFT26150000002706,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,INTERNATIONAL INSTITUTE OF LA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119666,02,SENIOR SERVICES,100005037,90031,EFT,PAID,GAX0215395020058,,,09/26/2014,1,2,GAE02CO15119666Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100005037 - INTERNATIONAL INSTITUTE OF LOS ANGELES
