Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Youth Services and Intervention Programming/Youth (ages 5-15) in organized sports programs,61876,Youth Services and Intervention Programming,Youth (ages 5-15) in organized sports programs
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Number of senior club members,12252,Senior Citizens Services,Number of senior club members
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Other Recreation/Occupancy at child care facilities (%),94,Other Recreation,Occupancy at child care facilities (%)
2013,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Educational Exhibits/Observatory/Attendance,1033429,Observatory,Attendance
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Pool Attendance,1330653,Aquatics,Pool Attendance
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Attendance for recreational swim,3255404,Aquatics,Attendance for recreational swim
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Camps/Camper days,55624,Camps,Camper days
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Team sports participants,101916,Municipal Sports,Team sports participants
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Number of teams,6484,Municipal Sports,Number of teams
2013,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Sr. Citizens Clubs,109,Senior Citizens Services,Sr. Citizens Clubs
2013,Cultural and Recreational Services,Zoo,Educational Exhibits,Educational Exhibits/Attendance,1506274,Attendance,
2013,Cultural and Recreational Services,Zoo,Admissions,Admissions/Number of group reservations processed,2542,Number of group reservations processed,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Environmental cases concluded,329,Completion frequency-posted routes %,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Combined criminal jury and court trials,342,Completion frequency-posted routes %,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer cases concluded (3),,Completion frequency-posted routes %,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-cases reviewed (3),160,Completion frequency-posted routes %,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-consumer complaints (3),400,Completion frequency-posted routes %,
2013,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Housing/rent control cases concluded,603,Completion frequency-posted routes %,
2013,General Government,City Ethics Commission,Whistle-blower complaints and investigations processed,Whistle-blower complaints and investigations processed,,Completion frequency-posted routes %,
2013,General Government,City Ethics Commission,Investigations resolved within 2 years (%),Investigations resolved within 2 years (%),94,Completion frequency-posted routes %,
2013,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Preventative maintenance orders completed (%),67,Completion frequency-posted routes %,Preventative maintenance orders completed (%)
2013,General Government,General Services,Building Services Program,Building Services Program/Recycling Operations/Tonnage Collected,0,Completion frequency-posted routes %,Tonnage Collected
2013,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings coordinated,65,Completion frequency-posted routes %,Filmings coordinated
2013,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings and Special Events coordinated,1641,Completion frequency-posted routes %,Filmings and Special Events coordinated
2013,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Square feet of buildings,19851002,Completion frequency-posted routes %,Square feet of buildings
2013,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of calls received,1062894,Completion frequency-posted routes %,
2013,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of wireless calls,515468,Completion frequency-posted routes %,
2013,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Average wait time per caller (in sec),224,Completion frequency-posted routes %,
2013,General Government,Neighborhood Empowerment,Neighborhood councils certified (6),Neighborhood councils certified (6),0,Completion frequency-posted routes %,
2013,General Government,Office of Finance,Revenue enhancement unit investigations (5),Revenue enhancement unit investigations (5),124389,Completion frequency-posted routes %,
2013,General Government,Office of Finance,Total tax accounts audited,Total tax accounts audited,4839,Completion frequency-posted routes %,
2013,General Government,Office of Finance,Refund claims processed,Refund claims processed,10667,Completion frequency-posted routes %,
2013,General Government,Office of Finance,Collections from Citywide Collection Unit ($ in 000's),Collections from Citywide Collection Unit ($ in 000's),27385,Completion frequency-posted routes %,
2013,General Government,Office of Finance,Annual Business Tax renewal e-filings,Annual Business Tax renewal e-filings,216358,Completion frequency-posted routes %,
2013,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),78,Convert refuse collection fleet to clean fuels (%),
2013,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Bulky Items,34000,Tons Collected:,Bulky Items
2013,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,150380,Tons Collected:,Recyclables
2013,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,522737,Tons Collected:,Yard Trimmings
2013,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,954477,Tons Collected:,Refuse
2013,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Maintain a baseline 99.5% of refuse collected on schedule (%),100,Maintain a baseline 99.5% of refuse collected on schedule (%),
2013,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),554,Increase truck fleet conversion to clean fuel (no. of trucks),
2013,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),90,Implement LAUSD Blue Bin Recycling Program (%),
2013,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",215,"Clean 60,000 pipe reaches as mandated (%)",
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),100,Maintain 3-yr rolling avrg of 60 miles of sewers (%),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),6750,WCSD Sewer Cleaning - miles of sewers cleaned (10),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),28,DCT Water Reclaimed (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),57,DCT Wastewater Treatment (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),5,LAG Water Reclaimed (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),20,LAG Wastewater Treatment (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),4,TITP Wastewater Reclaimed (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,TITP Wastewater Treatment (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),35,HTP Wastewater Reclaimed (MGD),
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),305,HTP Wastewater Treatment (MGD),
2013,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",72,"Clean 90,000 catch basins annually (%)",
2013,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,65000,Catch Basin Cleaning,
2013,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recycling Contamination,55620,Tons Collected:,Recycling Contamination
2013,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,17063,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,126234,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),61632,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,32440,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),0,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),97,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,126426,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,178740,Completion frequency-posted routes %,EMT fire resources
2013,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,4624,Completion frequency-posted routes %,Structure fires
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,10836,Completion frequency-posted routes %,Non structure fires
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),0,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),121381,Completion frequency-posted routes %,Fires (includes automatic alarms)
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,4734,Completion frequency-posted routes %,Hazardous conditions
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,40822,Completion frequency-posted routes %,Rescues and others
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,312,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2013,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),39,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2013,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,261238,Completion frequency-posted routes %,Paramedic ambulances
2013,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,146002,Completion frequency-posted routes %,EMT ambulances
2013,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,129152,Completion frequency-posted routes %,Paramedic fire resources
2013,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,428178,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,1188,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,5070,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),2276363,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,20996,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,44588,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),6,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,150552,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,84174,Completion frequency-posted routes %,
2013,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,103856,Completion frequency-posted routes %,
2013,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",30094,Completion frequency-posted routes %,
2013,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Streets resurfaced (miles),245,Streets resurfaced (miles),
2013,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Bus pads constructed,97,Bus pads constructed,
2013,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Access ramps constructed,1560,Access ramps constructed,
2013,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Sidewalks repaired (miles),,Sidewalks repaired (miles),
2013,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",6,Completion frequency-posted routes %,
2013,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",5,Completion frequency-posted routes %,
2013,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",77704,Completion frequency-posted routes %,
2013,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Response time to clear illegal dumping (days)",0,Completion frequency-posted routes %,
2013,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes %,97,Completion frequency-posted routes %,
2013,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes/Goal-posted routes %,97,Completion frequency-posted routes %,Goal-posted routes %
2013,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks),24,Completion frequency-nonposted routes (weeks),
2013,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks)/Goal-nonposted routes (weeks),0,Completion frequency-nonposted routes (weeks),Goal-nonposted routes (weeks)
2013,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees planted - City forces & Non-profits (MTLA),3238,Trees planted - City forces & Non-profits (MTLA),
2013,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed in City's urban forest,50000,Trees trimmed in City's urban forest,
2013,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed - City forces (broadhead),2980,Trees trimmed - City forces (broadhead),
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Crossing guard assignments,492,Crossing guard assignments,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Number of hours of intersection control,23730,Number of hours of intersection control,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles abated,61062,Abandoned vehicles abated,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles impounded,2966,Abandoned vehicles impounded,
2013,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit routes in service,45,Fixed transit routes in service,
2013,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit route passenger trips,26154372,Fixed transit route passenger trips,
2013,Transportation,Transportation,Transit Operations,Transit Operations/Total transit vehicle passenger trips,26467594,Total transit vehicle passenger trips,
2013,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Citation reviews completed within 21 days (%),73,Citation reviews completed within 21 days (%),
2013,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Collection rate of citations issued in the year (%),75,Collection rate of citations issued in the year (%),
2013,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Traffic control signals maintained (%),18,Traffic control signals maintained (%),
2013,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number Traffic Signals Repaired,8769,Number Traffic Signals Repaired,
2013,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number New Signals (Traffic and Pedestrian) Installed,32,Number New Signals (Traffic and Pedestrian) Installed,
2013,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle sharrow miles,22,Increase in bicycle sharrow miles,
2013,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit drivers arrested,900,Bandit drivers arrested,
2013,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit vehicles impounded,611,Bandit vehicles impounded,
2013,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle lane miles,101,Increase in bicycle lane miles,
2013,Transportation,Transportation,Mass Transit Information Services,Mass Transit Information Services/Shuttle bus transit ridership per hour,43,Shuttle bus transit ridership per hour,
2013,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Active traffic congestion relief projects,84,Active traffic congestion relief projects,
2013,Transportation,Transportation,Transportation System Engineering Program,Transportation System Engineering Program/Speed humps/tables constructed,,Speed humps/tables constructed,
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Red curb miles reinstalled/installed,392,Red curb miles reinstalled/installed,
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Thermoplastic longline striping installed/reinstalled (previously lane miles),151,Thermoplastic longline striping installed/reinstalled (previously lane miles),
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Replaced (9),0,Signs Replaced (9),
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Maintained/Replaced,43728,Signs Maintained/Replaced,
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Temporary Signs installed/removed,471376,Temporary Signs installed/removed,
2013,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Number miles of lane markings installed,122,Number miles of lane markings installed,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written,2654910,Citations written,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written per officer per eight-hour shift,27,Citations written per officer per eight-hour shift,
2013,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Peak hour tows and other tows,45921,Peak hour tows and other tows,
2012,Business-Type Activities ,Airports,Air cargo (thousand tons),Air cargo (thousand tons),2366,Completion frequency-posted routes %,
2012,Business-Type Activities ,Airports,Aircraft movements (thousands),Aircraft movements (thousands),976,Completion frequency-posted routes %,
2012,Business-Type Activities ,Airports,Passengers (millions),Passengers (millions),67,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Cruise passengers,Cruise passengers,515827,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Vessel arrivals,Vessel arrivals,2100,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Containerized cargo volume (in million of TEUs),Containerized cargo volume (in million of TEUs),8,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Outbound tonnage (million tons),Outbound tonnage (million tons),75,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Inbound tonnage (million tons),Inbound tonnage (million tons),98,Completion frequency-posted routes %,
2012,Business-Type Activities ,Harbor,Miles of waterfront,Miles of waterfront,43,Completion frequency-posted routes %,
2012,Business-Type Activities ,Power,Customers-average number (thousands),Customers-average number (thousands),1471,Completion frequency-posted routes %,
2012,Business-Type Activities ,Power,Kilowatt hours sold (billions),Kilowatt hours sold (billions),25,Completion frequency-posted routes %,
2012,Business-Type Activities ,Power,Energy production (billion kwh),Energy production (billion kwh),28,Completion frequency-posted routes %,
2012,Business-Type Activities ,Power,Net system capability (megawatts),Net system capability (megawatts),7,Completion frequency-posted routes %,
2012,Business-Type Activities ,Water ,Customers-average number (thousands),Customers-average number (thousands),674,Completion frequency-posted routes %,
2012,Business-Type Activities ,Water ,Gallons sold (billions),Gallons sold (billions),170,Completion frequency-posted routes %,
2012,Business-Type Activities ,Water ,Net water supply (billions of gallons),Net water supply (billions of gallons),177,Completion frequency-posted routes %,
2012,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Prop A - One-way transportation trips,128300,Completion frequency-posted routes %,
